Nototriton abscondens 
Nototriton barbouri 
Nototriton brodiei 
Nototriton gamezi 
Nototriton guanacastae 
Nototriton lignicola
Nototriton limnospectator
Nototriton major 
Nototriton picadoi 
Nototriton richardi 
Nototriton saslaya
Nototriton stuarti 
Nototriton tapanti 
Nyctanolis pernix 
Oedipina alfaroi 
Oedipina alleni 
Oedipina altura 
Oedipina carablanca 
Oedipina collaris 
Oedipina complex 
Oedipina cyclocauda 
Oedipina elongata 
Oedipina fortunensis 
Oedipina gephyra 
Oedipina gracilis 
Oedipina grandis 
Oedipina ignea 
Oedipina maritima 
Oedipina pacificensis 
Oedipina parvipes 
Oedipina paucidentata 
Oedipina poelzi 
Oedipina pseudouniformis 
Oedipina savagei 
Oedipina stenopodia 
Oedipina stuarti
Oedipina taylori 
Oedipina tomasi
Oedipina uniformis 
Ommatotriton ophryticus 
Ommatotriton vittatus 
Onychodactylus fischeri 
Onychodactylus japonicus 
Pachyhynobius shangchengensis
Pachytriton archospotus
Pachytriton brevipes 
Pachytriton labiatus 
Paradactylodon gorganensis 
Paradactylodon mustersi 
Paradactylodon persicus 
Paramesotriton caudopunctatus 
Paramesotriton chinensis 
Paramesotriton deloustali 
Paramesotriton fuzhongensis 
Paramesotriton guanxiensis 
Paramesotriton hongkongensis 
Paramesotriton laoensis 
Paramesotriton longliensis 
Paramesotriton zhijinensis 
Parvimolge townsendi
Phaeognathus hubrichti 
Plethodon ainsworthi 
Plethodon albagula 
Plethodon amplus
Plethodon angusticlavius 
Plethodon asupak 
Plethodon aureolus 
Plethodon caddoensis 
Plethodon chattahoochee 
Plethodon cheoah
Plethodon chlorobryonis 
Plethodon cinereus 
Plethodon cylindraceus
Plethodon dorsalis
Plethodon dunni
Plethodon electromorphus 
Plethodon elongatus 
Plethodon fourchensis 
Plethodon glutinosus 
Plethodon grobmani 
Plethodon hoffmani
Plethodon hubrichti 
Plethodon idahoensis
Plethodon jordani 
Plethodon kentucki 
Plethodon kiamichi 
Plethodon kisatchie 
Plethodon larselli 
Plethodon meridianus
Plethodon metcalfi
Plethodon mississippi 
Plethodon montanus
Plethodon neomexicanus 
Plethodon nettingi
Plethodon ocmulgee 
Plethodon ouachitae 
Plethodon petraeus 
Plethodon punctatus 
Plethodon richmondi 
Plethodon savannah 
Plethodon sequoyah 
Plethodon serratus 
Plethodon shenandoah 
